speaker_id,responder_id,bio,company,name,photoUrl,shortBio,socials,title,country
liza_layne,24,"Profile
Liza Layne
Lead Data & Analytics Manager @ Eurostar International Ltd
Chapter Point of Contact AnitaB.org London
Co-Chair Mid-career committee

She is an experienced Technical Strategic leader of BI & Analytics, awarded for delivering solutions for-profit and government organisations. With over 15 years of working Data teams  has seen her become a known champion and advocate for inclusion and diversity in tech. Currently working at Eurostar International Ltd as a Lead Data & Analytics Manager and is also an active member of its Inclusion and diversity committee. With a degree in Computing and a master’s in Business Intelligence and Analytics, saw her start a career in Tech by working in financial services as a Support Analyst and eventually on a path of working in Business Intelligence and Data Analytics.

Her support of driving for inclusion started by being one of the founders of a London Credit Union serving as a Director, holding the posts of General Secretary and Compliance Officer from 2009 to 2011.

Joining AnitaB.org in 2017 as a volunteer, has driven her to forge growth in AnitaB.org’s London Chapter which led to being invited to speak at AnitaB.org  Grace Hopper Celebration (GHC), the world's largest gathering of women technologists in 2018 and 2019.

Her vision is to empower women to get into tech and stay in there! She is an active member of AnitaB.org volunteer communities serving as joint-conference chair for the 2019  AnitaB.org London Hopper x1, Chapter Point of Contact for AnitaB.org London, inaugural member AnitaB.org's Membership Mid-Career committee and GHC Data Science CFP reviewer.



AnitaB.org Presents: Building an Antiracist Society Part 1& 2 Recording and Resources - https://anitab.org/news/announcements/anitaborg-presents-building-an-antiracist-society-part-2-recording-and-resources/  Panel Discussion


Grace Hopper Celebration 2019 - Local Community - How can AnitaB.org's Volunteers Impact your Community Moderator for Panel Discussion https://drive.google.com/file/d/1kD40Ubi5-HOd2cSZHEBYdn75yBcTV72D/view?usp=sharing

AnitaB.org Hopperx1 London 2019 - Back to the past: emulating RISC processor with Scala fall over - https://drive.google.com/file/d/1YuuKskKHzzGRnaS40GRgtqGTFlpW5koJ/view?usp=sharing

Grace Hopper Celebration 2018: How Can Locals Impact your Community  Panel Discussion",Eurostar International Ltd,Liza Layne,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/liza.jfif?alt=media&token=3b14dcf4-e2a8-46f1-95e5-41306618a819,"Liza is an experienced Technical Strategic leader of BI & Analytics for over 15 years has seen her become a known champion and advocate for inclusion and diversity in tech. Currently working at Eurostar International Ltd as a Lead Data & Analytics Manager and is also an active member of its Inclusion and diversity committee. Joining AnitaB.org in 2017 as a volunteer, has driven her to forge growth in AnitaB.org’s London Chapter and hHer vision is to empower women to get into tech and stay in there!","@lizalayne,  https://www.linkedin.com/in/lizalayne/",Lead Data & Analytics Manager,United Kingdom
maria_obrien,2,"Maria O'Brien is a lifelong volunteer. GDG Community Organizer, with a broad background in digital design and digital solutions consultancy gathered over 15 years of practice. She currently serves as the Lead Digital Designer at the Office of the Parliament of Trinidad and Tobago; Co-Director of MindWise Project- a mental health non profit focused on digital content creation and curation; and is the founder and Chief Innovation Officer of Design Change, a social change design firm selectively disrupting systems through targeted social innovation and sustainable development projects.

Through her roles, there is a focus on the Global Goals and the 2030 campaign. She hopes to contribute to the growth of a strong women techmaker community in Trinidad and Tobago, alongside advocating for and contributing meaningfully to better mental health and gender equality in the techmaker community, through healthier workplace practices in the way we as techmakers execute our work, and increasing the visibility of women techmakers locally, to opportunities and to each other.
 
www.linkedin.com/in/mdobrien
 

",Mindwise Project,Maria OBrien,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/mariagdg.jpg?alt=media&token=66981aa8-8442-4d06-b3b8-23d47a29d979,"Maria O'Brien is a lifelong volunteer. GDG Community Organizer, with a broad background in digital design and digital solutions consultancy gathered over 15 years of practice. She currently serves as the Lead Digital Designer at the Office of the Parliament of Trinidad and Tobago; Co-Director of MindWise Project- a mental health non profit focused on digital content creation and curation; and is the founder and Chief Innovation Officer of Design Change, a social change design firm selectively disrupting systems through targeted social innovation and sustainable development projects.",https://www.facebook.com/mindwisett/,Director,Trinidad & Tobago
michael_dorka,7,"I participated as speaker and Mentor in DevFest and Google for Startups events during the last 4 years all over the world. ",ank,Michael Dorka,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/michael.jpg?alt=media&token=4da7f48e-59b6-4d98-81d3-3df74f8c4e8b,"Currently responsible for research and design at ank,  a series A fintech start-up funded by Itaú Unibanco group. During the last 15 years I was creating and leading User Research and Design teams in start-ups and big corporates. Google supports me by letting me share my experiences as Google Developer Expert (GDE) and as mentor for spanish LATAM start-ups in the Google for startups program. I love living and working abroad as I did while researching in Tokyo and co-founding start-ups in Mexico City and creating great UX teams Buenos Aires. Funny date? More than half of my life I lived and worked abroad.",https://www.linkedin.com/in/michaeldorka/,Head of research,Argentina
nav_singh,6,"He is a professional Android developer. Apart from his day to day job, He spend his time to learn new technologies/frameworks. He is also an Organizer at GDG-Montreal.
During his free he loves to watch Netflix, or you can find him at Gym.",Manulife,Nav Singh,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/navesh.jpg?alt=media&token=416cb4c4-1766-40ac-86df-aa4e979fb3f9,Mobile software engineer at Manulife,"@navczydev, in/navczydev",Mobile Software Engineer,Canada
nash,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
nicholas_mendez,4,"Nicholas Mendez is a Computer Science graduate, a freelance developer, and Organizer of GDG Port-of-Spain. Passionate in all things web, he has seen success in regional coding competitions such as WSIS Hack Against Hunger, Teleios Codejam, Developing Caribbean Code Sprint, and The Bmobile Innovation Challenge. He teaches Software Engineering and Web Technologies at University and specializes in Progressive Web Applications with a keen interest in performance, UX, and most recently Machine Learning.",The University of the West Indies St. Augustine Campus,Nicholas Mendez,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/nick.png?alt=media&token=39e8234a-98f9-4403-b4e3-856dfbe9b3d7,"Instructor, Die hard web developer","https://twitter.com/snickdx, https://github.com/snickdx, https://nicholasmendez.dev",Instructor,Trinidad & Tobago
obika_gellineau,3,"I am a security professional with over ten years of experience with IT Security, Forensics and Software Development. I work as a cybersecurity consultant in Trinidad and Tobago, where I develop solutions for clients in the areas of cyber security, digital transformation and business continuity.",N/A,Obika Gellineau,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/obika.jpg?alt=media&token=c3d295d5-fca7-47df-a0dc-eb1e8615d051,"I am a security professional with over ten years of experience with IT Security, Forensics and Software Development",https://www.linkedin.com/in/obikag/,Manager,Trinidad & Tobago
qarun,9,"Web Developer with close to 2 years experience in Angular, Node.js and Firebase. Interested in integrating software into many other fields to improve efficiency and reduce cost. 

I strive for clean, maintainable, reusable, testable code. I have not spoken at any conferences before, this is my first time.",Caribbean Airlines Ltd.,Qarun Qadir Bissoondial,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/qarun.jpg?alt=media&token=543e4159-ea24-4944-8b4f-bbb615638f07,Aspiring Web Developer with an eye for clean and testable code,"https://twitter.com/QarunQB, https://github.com/Qarun-Qadir-Bissoondial, ",Software Engineer,Trinidad & Tobago
rodrigo,30,"With over 20 career in the IT Industry, Rodrigo Akira, better known as Akira, is the Developer Ecosystem Manager  for Latin America at Google. With a successful career on the biggest companies, Akira have worked at companies such as Microsoft and Amazon, Akira holding management positions in programs, sales, marketing, business development and startups.
Along his career, Akira had the opportunity to speak on many events across the globe such as Web Summit, SXSW, CASE, TechEd, re:Invent and TechCrunch Disrupt.",Google,Rodrigo Akira Hirooka,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/akira.jpg?alt=media&token=038424e6-5ae6-4717-b641-e10ea3b12ed2,"With over 20 career in the IT Industry,  Akira, is the Developer Ecosystem Manager  for Latin America at Google and have worked at the biggest tech companies such as Google, Microsoft and Amazon.",https://linkedin.com/in/rakira,Developer Ecosystem Regional Lead,Brazilian
sherezz_grant,13,"Sherezz Grant is a geoscientist turned full-stack web developer living in Trinidad and Tobago. Motivated by the idea of using code to help solve some of life’s crucial problems, she prefers to work on meaningful projects that help society, such as developing the website for allWomen, the first all-women AI bootcamp in Barcelona helping to reduce the gender gap in tech, and ReliefTT, a website providing resources for persons affected by flooding or other disasters in Trinidad and Tobago. She currently works for a US-based non-profit called 350.org, an organisation focused on keeping fossil fuels in the ground. She has since spoken about her career experiences at International Girls in ICT Day, Microsoft DigiGirlz, PIVOT, a Women Techmakers Trinidad and Tobago event, and more. In her free time, she enjoys playing piano, singing, dancing and travelling.",350.org,Sherezz Grant,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/sherezz.jpeg?alt=media&token=038ec8c2-9a66-49e0-a6e7-24d739d528cd,A web developer motivated to make meaningful impact through code.,"https://www.twtitter.com/rezziemaven, https://www.github.com/rezziemaven, https://www.linkedin.com/in/sherezz, https://rezziemaven.com",Web Developer,Trinidad & Tobago
lyse,28,"I was a tutor at Ayitic goes Global where I could get lot of experience in speaking and sharing.
I was also a tutor for School of Data in Tanzania where we were promoting Data Literacy.",GDG Port-au-Prince,Ladouceur Lyse,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/lyse.jpg?alt=media&token=5d016695-a170-4b51-bae2-a27b9c4bee3d,"Coder - Developer From Haïti. Curious, passionate about programming, always looking for new challenges, willing to share what she knows.",https://twitter.comlyse-ladouceur-29a5ba120,Co-Organizer,Haïti
aggrey,31,"On the surface, Aggrey Marsh is a software developer and system engineer with over 10 years of experience working in the Caribbean from as far north as the Bahamas then across to Dominica, Antigua , Barbados Trinidad and of course his home country of  Guyana.

He has worked on region-wide projects for the likes of Sybase , Google , ITU just to name a few . He has been asked to sit on expert panels and present by Economic Commission for Latin America and the Caribbean, canto, Google.

He also has volunteered his time to help the Guyana robotics team annually for the last 3 years prepare for the international competition. He also Gives his time to the Guyanese student association and other organizations that do work in areas that align with areas he is focused on. He is also trained in rapid damage assessment by Caribbean emergency and disaster management agency and volunteer to deploy to any caricome country that may need help post a disaster. 

More than his role in the technology industry in Guyana the Caribbean as a wider region he has been vocal about Guyana devolvement in the ICT sector. One of those ideas is how TAX incentives can boat the ICT sector and bring foreign investment to the country in at pubic forum so much so that the finance minister has given him an audience to discuss this and other topics around the ICT sector like e-commerce, blockchain, cryptocurrencies and most recently the need for internet exchange points as a pillar for a connected and resilient Guyana etc . 

","Issachar and associates - GDG Georgetown ",Aggrey Marsh,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/aggrey.jpg?alt=media&token=68ef06e2-b2d5-4604-8960-c46590ea9794,"On the surface, Aggrey Marsh is a software developer and system engineer with over 10 years of experience working in the Caribbean from as far north as the Bahamas then across to Dominica, Antigua , Barbados Trinidad and of course his home country of  Guyana.",https://www.facebook.com/aggreymarsh,Lead,Guyana
anil_ramnanan,27,"Anil Ramnanan is a Systems Administrator at the University of the West Indies Open Campus with the responsibilities of managing the organisiation’s Learning Management Systems. He is a Graduate of the University of the West Indies with an MPhil in Computer Science and has served as a Director of the Trinidad and Tobago Computer Society. He has extensive experience in the area of Open Source Software, web and mobile development. His interest also includes vision using OpenCV and various computer vision APIs as well as  Internet of Things using hardware platforms such as the Raspberry Pi and Ardiuno.

A Developer's Guide to Machine Learning and Computer Vision (2018)https://www.youtube.com/watch?v=TnuPoAYBJbk

Moodle Moot UK (2010)
Moodle Integration with Google Apps & The Open Campus Student Management System –Kevin Ramsoobhag, Anil Ramnanan (co-author) http://moodlemootuk2010.org.uk/videos/

Moodle Moot Canada (July 2011)
Auto grouping Enrollment plugin for Moodle 2.0 – Anil Ramnanan, Reiza Haniffhttp://www.wiziq.com/online-class/593412-auto-grouping-enrollment-plugin-for-moodle-2-0

Moodle Moot Online (August 2011)
Auto grouping Enrollment plugin for Moodle 2.0 – Anil Ramnanan, Reiza Haniff http://www.wiziq.com/online-class/593412-auto-grouping-enrollment-plugin-for-moodle-2-0

Moodle Moot Canada 2013 Moodle workshop for teaching EFL ||Moodle: Integrating external application with web services – Anil Ramnanan",The University of the West Indies Open Campus,Anil Ramnanan,https://firebasestorage.googleapis.com/v0/b/gdgpos-devfest19.appspot.com/o/anil.jpg?alt=media&token=c4b923f8-fe46-4061-9b08-1300a691d702,"Anil Ramnanan is a developer, systems administrator and techie that dabbles in IoT, Machine Learning and other weird things.",/twitter.com/anilramnanan,Learning Management Systems Administrator,Trinidad & Tobago
rishit_dagli,19,"Rishit Dagli is a grade 11 student and is a TEDx, TED-Ed Speaker. To share his knowledge with everyone he mentors at TensorFlow UserGroup Mumbai and organizes groups Global AI Mumbai and Kotlin Mumbai and is an international speaker. He also works as a Google AI ExploreML facilitator. He is also interested in research and has published multiple research papers in the field of AI and Maths. He has also represented his country in various Hackathons and competitions and even won a few while representing his country.

More about his past talks can be found at https://www.rishit.tech/talks",Narayana School,Rishit Dagli,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/rishit.jfif?alt=media&token=e542b51b-4e4d-4809-bd55-1699bebec739,"TEDx, TED-Ed Speaker","https://twitter.com/rishit_dagli, https://www.linkedin.com/in/rishit-dagli, https://medium.com/@rishit.dagli, https://github.com/Rishit-dagli, https://stackoverflow.com/users/11878567/rishit-dagli",Student,India
felipe,32,"I've designed applications in Google Cloud environments using managed and non-managed services including but not limited to Google Appengine, Google Compute Engine, Google Kubernetes Engine and Cloud Run.
I've used Docker Containers to create scalable and distributed cloud solutions powered by continuous integration, continuous delivery and continuous deployment. Fetching code from GitHub or google's own Cloud Repositories, building the production artefacts with Cloud builds or directly by using Jenkins Pipelines and deploying to Google's computing options. I always pursue flexible solutions that provide scalability for cost reduction and availability in case spikes on traffic occur.

2 times certified in Google cloud (architect and cloud engineer) and Kubernetes certified administrator.
I'm also a Google Developer Expert on Cloud technologies, which means that I'm an active contributor to the tech-cloud communities in Colombia and abroad . Please have a look at my medium profile for more information.","Globant ","Juan Felipe Luján ",https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/felipe2.jfif?alt=media&token=bb095feb-3763-472c-af7a-9bafe8c8148c,"Js developer with extensive experience in cloud architecture and kubernetes. Certified cloud engineer and architect in GCP and Kubernetes Administrator ","https://www.linkedin.com/in/felipelujan ","Web UI engineer ","Colombian "
